date,version_downloads
2026-05-13,36
2026-05-14,389
2026-05-15,707
2026-05-16,840
2026-05-18,1172
2026-05-19,1916
2026-05-21,2691
2026-05-22,2942
2026-05-23,3073
2026-05-25,3351
2026-05-27,3813
2026-05-28,4031
2026-05-29,4480
2026-05-30,4633
2026-06-01,4870
2026-06-02,5133
2026-06-03,5421
2026-06-04,5677
2026-06-05,6208
2026-06-06,6306
2026-06-08,6504
2026-06-09,6774
2026-06-10,7112
2026-06-11,7393
2026-06-12,7885
2026-06-13,7990
2026-06-15,8224
2026-06-16,8452
2026-06-17,8673
2026-06-18,8841
2026-06-19,9113
