date,version_downloads
2026-07-31,61
2026-08-01,158
2026-08-03,442
2026-08-04,534
2026-08-05,595
2026-08-06,657
2026-08-07,692
2026-08-08,718
2026-08-09,762
2026-08-10,817
2026-08-11,850
2026-08-12,901
2026-08-13,945
2026-08-14,980
2026-08-15,992
2026-08-16,1007
2026-08-17,1067
2026-08-18,1098
2026-08-19,1138
2026-08-20,1177
2026-08-21,1202
2026-08-22,1215
2026-08-23,1232
2026-08-24,1276
2026-08-25,1314
2026-08-27,1398
2026-08-28,1445
2026-08-29,1457
2026-08-30,1473
2026-08-31,1523
2026-09-01,1555
