date,version_downloads
2025-12-15,119
2025-12-16,290
2025-12-17,462
2025-12-18,575
2025-12-19,661
2025-12-20,687
2025-12-21,734
2025-12-22,807
2025-12-23,860
2025-12-24,892
2025-12-25,911
2025-12-26,932
2025-12-27,949
2025-12-28,964
2025-12-29,1020
2025-12-30,1043
2025-12-31,1073
2026-01-01,1092
2026-01-02,1124
2026-01-03,1137
2026-01-04,1167
2026-01-05,1251
2026-01-06,1319
2026-01-07,1389
2026-01-08,1445
2026-01-09,1483
2026-01-10,1500
2026-01-11,1522
2026-01-12,1576
2026-01-13,1626
2026-01-14,1687
2026-01-15,1749
2026-01-16,1802
2026-01-17,1814
2026-01-18,1832
2026-01-19,1897
2026-01-20,1948
2026-01-21,2002
2026-01-22,2056
2026-01-23,2114
