date,version_downloads
2026-07-29,68
2026-07-30,268
2026-07-31,465
2026-08-01,579
2026-08-03,945
2026-08-04,1160
2026-08-05,1389
2026-08-06,1586
2026-08-07,1785
2026-08-08,1913
2026-08-09,2070
2026-08-10,2278
2026-08-11,2459
2026-08-12,2630
2026-08-13,2798
2026-08-14,2957
2026-08-15,3048
2026-08-16,3149
2026-08-17,3301
2026-08-18,3453
2026-08-19,3622
2026-08-20,3801
2026-08-21,4000
2026-08-22,4102
2026-08-23,4214
2026-08-24,4388
2026-08-25,4550
2026-08-27,4773
2026-08-28,5001
2026-08-29,5080
2026-08-30,5213
2026-08-31,5418
2026-09-01,5613
2026-09-02,5772
2026-09-03,5953
2026-09-04,6172
2026-09-05,6355
2026-09-06,6431
