date,asset_downloads,sha512sum_downloads
2025-10-25,14712,666937
2025-10-26,14712,666937
2025-10-27,14712,666937
2025-10-28,14712,666937
2025-10-29,14712,666937
2025-10-30,14712,666937
2025-10-31,14746,666937
2025-11-01,14747,666937
2025-11-02,14747,666937
2025-11-03,14747,666937
2025-11-04,14747,666937
2025-11-05,14747,666937
2025-11-06,14747,666937
2025-11-07,14747,666937
2025-11-08,14747,666937
2025-11-09,14747,666937
2025-11-10,14747,666937
2025-11-11,14747,666937
2025-11-12,14747,666937
2025-11-13,14747,666937
2025-11-14,14747,666937
2025-11-15,14747,666937
2025-11-16,14747,666937
2025-11-17,14747,666937
2025-11-18,14747,666937
