date,asset_downloads,sha512sum_downloads
2025-10-25,608,17
2025-10-26,610,17
2025-10-27,611,17
2025-10-28,612,17
2025-10-29,613,17
2025-10-30,614,17
2025-10-31,615,17
2025-11-01,616,17
2025-11-02,617,17
2025-11-03,618,17
2025-11-04,619,17
2025-11-05,621,17
2025-11-06,622,17
2025-11-07,623,17
2025-11-08,624,17
2025-11-09,625,17
2025-11-10,626,17
2025-11-11,627,17
2025-11-12,628,17
2025-11-13,629,17
2025-11-14,630,17
2025-11-15,631,17
2025-11-16,632,17
2025-11-17,633,17
2025-11-18,634,17
2025-11-19,635,17
2025-11-20,636,17
