date,asset_downloads,sha512sum_downloads
2025-10-25,772,28
2025-10-26,776,28
2025-10-27,777,28
2025-10-28,778,28
2025-10-29,779,28
2025-10-30,780,28
2025-10-31,781,28
2025-11-01,782,28
2025-11-02,783,28
2025-11-03,784,28
2025-11-04,785,28
2025-11-05,786,28
2025-11-06,788,28
2025-11-07,789,28
2025-11-08,790,28
2025-11-09,791,28
2025-11-10,792,28
2025-11-11,793,28
2025-11-12,794,28
2025-11-13,795,28
2025-11-14,796,28
2025-11-15,797,28
2025-11-16,798,28
2025-11-17,799,28
2025-11-18,800,28
2025-11-19,801,28
2025-11-20,802,28
2025-11-21,803,28
2025-11-22,804,28
2025-11-23,805,28
2025-11-24,806,28
2025-11-25,809,28
2025-11-26,810,28
2025-11-27,811,28
2025-11-28,812,28
2025-11-29,813,28
2025-11-30,813,28
2025-12-01,814,28
2025-12-02,815,28
2025-12-03,816,28
2025-12-04,817,28
2025-12-05,818,28
2025-12-06,819,28
2025-12-07,820,28
2025-12-08,821,28
2025-12-09,824,28
2025-12-10,825,28
2025-12-11,826,28
2025-12-12,827,28
2025-12-13,828,28
2025-12-14,829,28
2025-12-15,830,28
2025-12-16,831,28
2025-12-17,832,28
2025-12-18,833,28
2025-12-19,834,28
2025-12-20,835,28
2025-12-21,836,28
2025-12-22,837,28
2025-12-23,838,28
2025-12-24,839,28
2025-12-25,840,28
2025-12-26,841,28
2025-12-27,842,28
2025-12-28,843,28
2025-12-29,844,29
2025-12-30,845,29
2025-12-31,846,29
2026-01-01,847,29
2026-01-02,848,29
2026-01-03,849,29
2026-01-04,850,29
2026-01-05,851,29
2026-01-06,852,29
2026-01-07,854,30
2026-01-08,855,30
2026-01-09,856,30
2026-01-10,857,30
2026-01-11,858,30
2026-01-12,859,30
2026-01-13,860,30
2026-01-14,861,30
2026-01-15,862,30
