date,asset_downloads,sha512sum_downloads
2025-10-25,30376,96
2025-10-26,30376,96
2025-10-27,30378,96
2025-10-28,30386,96
2025-10-29,30386,96
2025-10-30,30388,96
2025-10-31,30388,96
2025-11-01,30388,96
2025-11-02,30390,96
2025-11-03,30393,96
2025-11-04,30395,96
2025-11-05,30397,96
2025-11-06,30399,96
2025-11-07,30401,96
2025-11-08,30401,96
2025-11-09,30401,96
2025-11-10,30403,96
2025-11-11,30405,96
2025-11-12,30405,96
2025-11-13,30405,96
2025-11-14,30405,96
2025-11-15,30405,96
2025-11-16,30405,96
2025-11-17,30405,96
2025-11-18,30405,96
2025-11-19,30407,96
2025-11-20,30411,96
2025-11-21,30411,96
2025-11-22,30411,96
2025-11-23,30412,96
2025-11-24,30414,96
2025-11-25,30414,96
2025-11-26,30416,96
2025-11-27,30416,96
2025-11-28,30416,96
2025-11-29,30416,96
2025-11-30,30418,96
2025-12-01,30419,96
2025-12-02,30421,96
2025-12-03,30421,96
2025-12-04,30421,96
2025-12-05,30421,96
2025-12-06,30423,96
2025-12-07,30423,96
2025-12-08,30423,96
2025-12-09,30424,96
2025-12-10,30426,96
2025-12-11,30427,96
2025-12-12,30427,96
2025-12-13,30428,96
2025-12-14,30429,96
2025-12-15,30431,96
2025-12-16,30435,96
2025-12-17,30437,96
2025-12-18,30439,96
2025-12-19,30439,96
2025-12-20,30439,96
2025-12-21,30441,96
2025-12-22,30442,96
2025-12-23,30448,96
2025-12-24,30448,96
2025-12-25,30448,96
2025-12-26,30448,96
2025-12-27,30452,96
2025-12-28,30452,96
2025-12-29,30452,96
2025-12-30,30452,96
2025-12-31,30454,96
2026-01-01,30454,96
2026-01-02,30455,96
2026-01-03,30456,96
2026-01-04,30459,96
2026-01-05,30459,96
2026-01-06,30462,96
2026-01-07,30464,97
