date,asset_downloads,sha512sum_downloads
2026-01-19,30,3
2026-01-20,163,5
2026-01-21,283,5
2026-01-22,403,7
2026-01-23,515,7
2026-01-24,617,7
2026-01-25,722,7
2026-01-26,832,9
2026-01-27,1267,907
2026-01-28,1637,1796
2026-01-29,1995,3082
2026-01-30,2267,4558
2026-01-31,2436,5630
2026-02-01,2623,6352
2026-02-02,2947,7946
2026-02-03,3215,10098
2026-02-04,3472,11612
2026-02-05,3698,13194
2026-02-06,3895,14711
2026-02-07,4029,15712
2026-02-08,4212,17145
2026-02-09,4462,19367
2026-02-10,4678,21402
2026-02-15,5519,28422
2026-02-16,5702,30221
2026-02-17,5903,32270
2026-02-18,6096,34705
2026-02-19,6295,36609
2026-02-20,6442,38381
2026-02-21,6566,39685
2026-02-22,6692,41204
2026-02-23,6876,43328
2026-02-24,7052,45155
2026-02-25,7219,47060
2026-02-26,7381,48469
2026-02-27,7529,49375
2026-02-28,7643,49934
2026-03-01,7768,50806
2026-03-02,7925,52602
2026-03-03,8060,54409
2026-03-04,8203,55781
2026-03-05,8331,57289
2026-03-06,8450,58372
2026-03-07,8555,59127
2026-03-08,8664,60003
2026-03-09,8792,61373
2026-03-10,8922,62812
2026-03-11,9060,64272
2026-03-12,9196,65715
2026-03-13,9298,66399
2026-03-14,9402,66762
2026-03-15,9506,66928
2026-03-16,9613,67384
2026-03-17,9720,67883
