date,asset_downloads,sha512sum_downloads
2025-10-25,7907,193833
2025-10-26,7907,193833
2025-10-27,7907,193833
2025-10-28,7907,193833
2025-10-29,7907,193833
2025-10-30,7907,193833
2025-10-31,7907,193833
2025-11-01,7907,193833
2025-11-02,7907,193833
2025-11-03,7907,193833
2025-11-04,7907,193833
2025-11-05,7907,193833
2025-11-06,7907,193833
2025-11-07,7907,193833
2025-11-08,7907,193833
2025-11-09,7907,193833
2025-11-10,7907,193833
2025-11-11,7907,193833
2025-11-12,7907,193833
2025-11-13,7907,193833
2025-11-14,7907,193833
2025-11-15,7907,193833
