date,asset_downloads,sha512sum_downloads
2026-01-19,7,4
2026-01-20,16,6
2026-01-21,24,6
2026-01-22,40,7
2026-01-23,57,7
2026-01-24,73,7
2026-01-25,85,7
2026-01-26,102,10
2026-01-27,113,10
2026-01-28,119,12
2026-01-29,130,13
2026-01-30,141,14
2026-01-31,150,14
2026-02-01,160,16
2026-02-02,172,16
2026-02-03,187,17
2026-02-04,193,17
2026-02-05,200,17
2026-02-06,208,17
2026-02-07,214,18
2026-02-08,225,19
2026-02-09,241,19
2026-02-10,255,19
2026-02-15,318,22
2026-02-16,324,24
2026-02-17,336,24
2026-02-18,350,24
2026-02-19,359,24
2026-02-20,364,24
2026-02-21,376,24
2026-02-22,380,24
2026-02-23,390,24
2026-02-24,396,25
