date,asset_downloads,sha512sum_downloads
2025-10-25,19957,55
2025-10-26,19959,55
2025-10-27,19960,55
2025-10-28,19961,55
2025-10-29,19962,55
2025-10-30,19963,55
2025-10-31,19964,55
2025-11-01,19965,55
2025-11-02,19966,55
2025-11-03,19967,55
2025-11-04,19968,55
2025-11-05,19969,55
2025-11-06,19970,55
2025-11-07,19971,55
2025-11-08,19972,55
2025-11-09,19973,55
2025-11-10,19974,55
2025-11-11,19975,55
2025-11-12,19976,55
2025-11-13,19977,55
2025-11-14,19978,55
2025-11-15,19979,55
2025-11-16,19980,55
2025-11-17,19983,55
2025-11-18,19984,55
2025-11-19,19985,55
2025-11-20,19986,55
2025-11-21,19987,55
2025-11-22,19988,55
2025-11-23,19989,55
2025-11-24,19992,55
2025-11-25,19998,55
2025-12-12,20020,55
2025-12-13,20021,55
2025-12-14,20022,55
2025-12-15,20023,55
2025-12-16,20024,55
2025-12-17,20025,55
2025-12-18,20027,55
2025-12-19,20034,55
2025-12-20,20035,55
2025-12-21,20036,55
2025-12-22,20037,55
2025-12-23,20038,55
2025-12-24,20039,55
2025-12-25,20040,55
2025-12-26,20041,55
2025-12-27,20042,55
2025-12-28,20043,55
2025-12-29,20044,55
2025-12-30,20045,55
2025-12-31,20046,55
2026-01-01,20047,55
2026-01-02,20048,55
2026-01-03,20049,55
2026-01-04,20050,55
2026-01-05,20051,55
2026-01-06,20052,55
2026-01-07,20054,56
2026-01-08,20055,56
2026-01-09,20056,56
2026-01-10,20057,56
2026-01-11,20061,56
2026-01-12,20062,56
2026-01-13,20063,56
2026-01-14,20064,56
2026-01-15,20065,56
2026-01-16,20065,56
2026-01-17,20066,56
