date,asset_downloads,sha512sum_downloads
2025-10-25,615,12
2025-10-26,617,12
2025-10-27,618,12
2025-10-28,619,12
2025-10-29,620,12
2025-10-30,621,12
2025-10-31,622,12
2025-11-01,623,12
2025-11-02,624,12
2025-11-03,625,12
2025-11-04,626,12
2025-11-05,627,12
2025-11-06,628,12
2025-11-07,629,12
2025-11-08,630,12
2025-11-09,631,12
2025-11-10,632,12
2025-11-11,633,12
2025-11-12,634,12
2025-11-13,635,12
2025-11-14,636,12
2025-11-15,637,12
2025-11-16,638,12
2025-11-17,639,12
2025-11-18,640,12
2025-11-19,641,12
2025-11-20,642,12
2025-11-21,643,12
2025-11-22,644,12
2025-11-23,645,12
2025-11-24,646,12
2025-11-25,647,12
2025-11-26,648,12
2025-11-27,649,12
2025-11-28,650,12
2025-11-29,651,12
2025-11-30,651,12
2025-12-01,652,12
2025-12-02,653,12
2025-12-03,654,12
2025-12-04,655,12
2025-12-05,656,12
2025-12-06,657,12
2025-12-07,658,12
2025-12-08,659,12
2025-12-09,660,12
2025-12-10,661,12
2025-12-11,662,12
2025-12-12,663,12
2025-12-13,664,12
2025-12-14,665,12
2025-12-15,666,12
2025-12-16,667,12
2025-12-17,668,12
2025-12-18,669,12
2025-12-19,670,12
2025-12-20,671,12
2025-12-21,672,12
2025-12-22,673,12
2025-12-23,674,12
2025-12-24,675,12
2025-12-25,676,12
2025-12-26,677,12
2025-12-27,678,12
2025-12-28,679,12
2025-12-29,680,12
2025-12-30,681,12
2025-12-31,682,12
2026-01-01,683,12
2026-01-02,684,12
2026-01-03,685,12
2026-01-04,686,12
2026-01-05,687,12
2026-01-06,688,12
2026-01-07,690,13
2026-01-08,691,13
2026-01-09,692,13
2026-01-10,693,13
2026-01-11,694,13
2026-01-12,695,13
2026-01-13,696,13
2026-01-14,697,13
