date,asset_downloads,sha512sum_downloads
2025-10-25,958,19
2025-10-26,960,19
2025-10-27,961,19
2025-10-28,962,19
2025-10-29,963,19
2025-10-30,964,19
2025-10-31,965,19
2025-11-01,966,19
2025-11-02,967,19
2025-11-03,968,19
2025-11-04,969,19
2025-11-05,970,19
2025-11-06,971,19
2025-11-07,972,19
2025-11-08,973,19
2025-11-09,974,19
2025-11-10,975,19
2025-11-11,976,19
2025-11-12,977,19
2025-11-13,978,19
2025-11-14,979,19
2025-11-15,980,19
2025-11-16,981,19
2025-11-17,982,19
2025-11-18,983,19
2025-11-19,984,19
2025-11-20,985,19
2025-11-21,986,19
2025-11-22,987,19
2025-11-23,988,19
2025-11-24,989,19
2025-11-25,990,19
2025-11-26,991,19
2025-11-27,992,19
2025-11-28,993,19
2025-11-29,994,19
2025-11-30,994,19
