date,asset_downloads,sha512sum_downloads
2026-01-19,423,4
2026-01-20,2457,9
2026-01-21,4081,11
2026-01-22,5698,13
2026-01-23,6943,16
2026-01-24,7292,16
2026-01-25,7876,16
2026-01-26,9561,20
2026-01-27,11091,26
2026-01-28,12396,30
2026-01-29,13614,32
2026-01-30,14360,35
2026-01-31,14649,35
2026-02-01,15227,36
2026-02-02,16562,39
2026-02-03,17932,45
2026-02-04,19280,53
2026-02-05,20453,58
2026-02-06,21229,62
2026-02-07,21527,62
2026-02-08,22134,62
2026-02-09,23410,71
2026-02-10,24689,72
2026-02-15,28955,78
2026-02-16,29989,81
2026-02-17,31207,84
2026-02-18,32313,85
2026-02-19,33498,86
2026-02-20,34303,87
2026-02-21,34635,87
2026-02-22,35086,87
2026-02-23,36229,89
2026-02-24,37400,90
2026-02-25,38521,93
2026-02-26,39658,97
2026-02-27,40504,98
2026-02-28,40818,99
2026-03-01,41345,100
2026-03-02,42572,103
2026-03-03,43835,106
2026-03-04,44617,111
2026-03-05,45420,116
2026-03-06,45970,118
2026-03-07,46235,118
2026-03-08,46567,118
2026-03-09,47483,130
2026-03-10,48372,132
2026-03-11,49205,134
2026-03-12,50014,138
2026-03-13,50298,139
2026-03-14,50350,139
2026-03-15,50419,139
