date,asset_downloads,sha512sum_downloads
2025-10-25,8917,24
2025-10-26,8919,24
2025-10-27,8922,24
2025-10-28,8925,24
2025-10-29,8926,24
2025-10-30,8927,24
2025-10-31,8928,24
2025-11-01,8931,24
2025-11-02,8932,24
2025-11-03,8933,24
2025-11-04,8934,24
2025-11-05,8935,24
2025-11-06,8938,24
2025-11-07,8941,24
2025-11-08,8942,24
2025-11-09,8943,24
2025-11-10,8944,24
2025-11-11,8945,24
2025-11-12,8946,24
2025-11-13,8947,24
2025-11-14,8948,24
2025-11-15,8949,24
2025-11-16,8950,24
2025-11-17,8951,24
2025-11-18,8952,24
2025-11-19,8953,24
2025-11-20,8956,24
