date,asset_downloads,sha512sum_downloads
2025-10-25,76765,1948198
2025-10-26,76769,1948198
2025-10-27,76771,1948198
2025-10-28,76773,1948198
2025-10-29,76775,1948198
2025-10-30,76777,1948198
2025-10-31,76778,1948198
2025-11-01,76780,1948198
2025-11-02,76782,1948198
2025-11-03,76784,1948198
2025-11-04,76786,1948198
2025-11-05,76788,1948198
2025-11-06,76790,1948198
2025-11-07,76791,1948198
2025-11-08,76793,1948198
2025-11-09,76795,1948198
2025-11-10,76797,1948198
2025-11-11,76799,1948198
2025-11-12,76801,1948198
2025-11-13,76808,1948198
2025-11-14,76809,1948198
2025-11-15,76811,1948198
2025-11-16,76813,1948198
2025-11-17,76816,1948198
2025-11-18,76818,1948198
2025-11-19,76820,1948198
2025-11-20,76822,1948198
2025-11-21,76823,1948198
2025-11-22,76825,1948198
2025-11-23,76827,1948198
2025-11-24,76829,1948198
2025-11-25,76831,1948198
2025-11-26,76833,1948198
2025-11-27,76837,1948198
2025-11-28,76838,1948198
2025-11-29,76840,1948198
2025-11-30,76841,1948198
2025-12-01,76843,1948198
2025-12-02,76846,1948198
2025-12-03,76848,1948198
2025-12-04,76850,1948198
2025-12-05,76851,1948198
2025-12-06,76853,1948198
2025-12-07,76855,1948198
2025-12-08,76857,1948198
2025-12-09,76859,1948198
2025-12-10,76862,1948198
2025-12-11,76864,1948198
2025-12-12,76865,1948198
2025-12-13,76867,1948198
2025-12-14,76869,1948198
2025-12-15,76871,1948198
2025-12-16,76873,1948198
2025-12-17,76875,1948198
2025-12-18,76877,1948198
2025-12-19,76878,1948198
2025-12-20,76880,1948198
2025-12-21,76882,1948198
2025-12-22,76884,1948198
2025-12-23,76886,1948198
2025-12-24,76888,1948198
2025-12-25,76890,1948198
2025-12-26,76891,1948198
2025-12-27,76893,1948198
2025-12-28,76896,1948198
2025-12-29,76898,1948198
2025-12-30,76900,1948198
2025-12-31,76902,1948198
2026-01-01,76904,1948198
2026-01-02,76905,1948198
2026-01-03,76907,1948198
2026-01-04,76909,1948198
2026-01-05,76911,1948198
2026-01-06,76913,1948198
2026-01-07,76916,1948199
2026-01-08,76918,1948199
2026-01-09,76919,1948199
2026-01-10,76921,1948199
