date,asset_downloads,sha512sum_downloads
2026-05-13,7123,9908
2026-05-14,17391,34613
2026-05-15,21628,54101
2026-05-16,23471,68380
2026-05-18,30076,92124
2026-05-19,43199,154704
2026-05-21,53254,219429
2026-05-22,55601,242896
2026-05-23,56487,260914
2026-05-25,58929,285446
2026-05-27,66299,345721
2026-05-28,69892,377729
2026-05-29,74537,432075
2026-05-30,75249,450905
2026-06-01,77990,479520
2026-06-02,81113,505819
2026-06-03,84614,536554
2026-06-04,87466,561143
2026-06-05,91779,595901
2026-06-06,92525,607137
2026-06-08,95178,627391
2026-06-09,98264,653707
2026-06-10,101391,677019
2026-06-11,104702,702370
2026-06-12,109029,745761
2026-06-13,109754,758868
2026-06-15,112515,781282
2026-06-16,115020,798875
2026-06-17,117601,821859
2026-06-18,120033,842560
2026-06-19,123548,878483
2026-06-21,124138,888319
2026-06-22,126062,908322
2026-06-23,130324,943981
2026-06-24,132774,966460
2026-06-25,134567,990287
2026-06-26,135138,1007422
2026-06-27,135304,1019802
2026-06-29,136900,1066393
2026-07-01,138874,1122749
2026-07-02,139799,1151065
2026-07-03,140226,1171233
2026-07-04,140441,1187183
2026-07-06,141702,1239424
2026-07-07,142479,1267915
2026-07-08,142910,1281592
2026-07-09,142925,1281592
2026-07-10,142939,1281592
2026-07-11,142943,1281592
2026-07-13,142978,1281593
2026-07-14,143000,1281593
2026-07-15,143011,1281593
2026-07-16,143025,1281595
2026-07-17,143036,1281595
2026-07-18,143044,1281596
2026-07-19,143054,1281596
2026-07-20,143077,1281596
2026-07-21,143103,1281596
2026-07-22,143130,1281596
2026-07-23,143148,1281596
2026-07-24,143165,1281596
2026-07-25,143169,1281596
2026-07-27,143194,1281596
2026-07-28,143198,1281596
2026-07-29,143215,1281596
2026-07-30,143229,1281599
2026-07-31,143234,1281599
2026-08-01,143245,1281599
2026-08-03,143270,1281599
2026-08-04,143296,1281600
2026-08-05,143311,1281600
2026-08-06,143317,1281600
2026-08-07,143322,1281600
2026-08-08,143324,1281600
2026-08-09,143334,1281600
2026-08-10,143375,1281601
2026-08-11,143392,1281601
2026-08-12,143406,1281601
2026-08-13,143416,1281601
