date,asset_downloads,sha512sum_downloads
2026-06-25,82,6
2026-06-26,187,11
2026-06-27,290,14
2026-06-29,445,19
2026-07-01,445,19
2026-07-02,445,19
2026-07-03,445,19
2026-07-04,445,19
2026-07-06,446,19
2026-07-07,446,19
2026-07-08,446,19
2026-07-09,447,19
2026-07-10,447,19
2026-07-11,447,19
2026-07-13,448,19
2026-07-14,448,19
2026-07-15,448,19
2026-07-16,449,19
2026-07-17,449,19
2026-07-18,449,19
2026-07-19,449,19
2026-07-20,449,19
2026-07-21,449,19
2026-07-22,449,19
2026-07-23,449,19
2026-07-24,449,19
2026-07-25,449,19
2026-07-27,449,19
2026-07-28,449,19
2026-07-29,449,19
2026-07-30,449,19
2026-07-31,449,19
2026-08-01,449,19
2026-08-03,449,19
2026-08-04,450,20
2026-08-05,450,20
2026-08-06,450,20
2026-08-07,450,20
2026-08-08,450,20
2026-08-09,450,20
2026-08-10,450,20
2026-08-11,450,20
2026-08-12,450,20
2026-08-13,450,20
2026-08-14,450,20
2026-08-15,450,20
2026-08-16,450,20
2026-08-17,450,20
2026-08-18,450,20
2026-08-19,450,20
2026-08-20,450,20
2026-08-21,450,20
