date,asset_downloads,sha512sum_downloads
2025-10-25,743,15
2025-10-26,745,15
2025-10-27,746,15
2025-10-28,747,15
2025-10-29,748,15
2025-10-30,749,15
2025-10-31,750,15
2025-11-01,751,15
2025-11-02,752,15
2025-11-03,753,15
2025-11-04,754,15
2025-11-05,755,15
2025-11-06,756,15
2025-11-07,757,15
2025-11-08,758,15
2025-11-09,759,15
2025-11-10,760,15
2025-11-11,761,15
2025-11-12,762,15
2025-11-13,763,15
2025-11-14,764,15
2025-11-15,765,15
2025-11-16,766,15
2025-11-17,767,15
2025-11-18,768,15
2025-11-19,769,15
