date,asset_downloads,sha512sum_downloads
2025-10-25,132662,2599938
2025-10-26,132667,2599938
2025-10-27,132672,2599938
2025-10-28,132676,2599938
2025-10-29,132682,2599938
2025-10-30,132683,2599938
2025-10-31,132685,2599938
2025-11-01,132687,2599938
2025-11-02,132689,2599938
2025-11-03,132693,2599938
2025-11-04,132700,2599938
2025-11-05,132702,2599938
2025-11-06,132704,2599938
2025-11-07,132705,2599938
2025-11-08,132706,2599938
2025-11-09,132710,2599938
2025-11-10,132714,2599938
2025-11-11,132717,2599938
2025-11-12,132718,2599938
2025-11-13,132720,2599938
2025-11-14,132721,2599938
2025-11-15,132722,2599938
2025-11-16,132723,2599938
2025-11-17,132730,2599938
2025-11-18,132732,2599938
2025-11-19,132737,2599938
2025-11-20,132739,2599938
2025-11-21,132743,2599938
2025-11-22,132744,2599938
2025-11-23,132747,2599938
2025-11-24,132750,2599938
2025-11-25,132753,2599938
2025-11-26,132756,2599938
2025-11-27,132761,2599938
2025-11-28,132763,2599938
