date,asset_downloads,sha512sum_downloads
2025-10-25,2211,11
2025-10-26,2211,11
2025-10-27,2211,11
2025-10-28,2211,11
2025-10-29,2211,11
2025-10-30,2211,11
2025-10-31,2211,11
2025-11-01,2211,11
2025-11-02,2211,11
2025-11-03,2211,11
2025-11-04,2211,11
2025-11-05,2211,11
2025-11-06,2211,11
2025-11-07,2211,11
2025-11-08,2211,11
2025-11-09,2211,11
2025-11-10,2211,11
2025-11-11,2211,11
2025-11-12,2211,11
2025-11-13,2211,11
2025-11-14,2211,11
2025-11-15,2211,11
2025-11-16,2211,11
2025-11-17,2211,11
2025-11-18,2211,11
2025-11-19,2211,11
2025-11-20,2211,11
2025-11-21,2211,11
2025-11-22,2211,11
2025-11-23,2211,11
2025-11-24,2211,11
2025-11-25,2211,11
2025-11-26,2211,11
2025-11-27,2211,11
2025-11-28,2211,11
2025-11-29,2211,11
2025-11-30,2211,11
2025-12-01,2211,11
2025-12-02,2211,11
2025-12-03,2211,11
2025-12-04,2211,11
